,Data_Name,Data,MinPts,pointlabel,clusters
0,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",10,[267 267 267 ... 267 267 267],"Counter({267: 152424, -1: 85897, 244: 9657, 182: 3948, 19: 969, 73: 453, 218: 422, 246: 421, 240: 361, 40: 243, 115: 220, 131: 201, 245: 200, 254: 148, 251: 140, 173: 130, 37: 112, 259: 106, 119: 100, 141: 98, 228: 85, 266: 85, 155: 84, 164: 80, 239: 79, 197: 76, 143: 75, 214: 74, 229: 73, 145: 70, 55: 63, 85: 62, 134: 60, 252: 60, 38: 60, 249: 56, 206: 55, 151: 55, 139: 52, 248: 52, 205: 51, 198: 51, 114: 51, 125: 50, 54: 47, 224: 45, 148: 43, 156: 43, 243: 43, 262: 43, 193: 42, 135: 41, 237: 41, 5: 39, 46: 39, 234: 39, 176: 39, 264: 39, 1: 38, 112: 37, 170: 37, 107: 36, 113: 36, 48: 34, 86: 33, 108: 33, 257: 33, 247: 32, 3: 32, 215: 32, 149: 31, 71: 31, 175: 31, 199: 31, 265: 31, 255: 31, 210: 30, 154: 30, 124: 29, 78: 29, 158: 29, 129: 29, 12: 29, 150: 28, 51: 28, 97: 28, 195: 27, 84: 27, 90: 26, 213: 26, 2: 26, 184: 26, 87: 25, 47: 25, 94: 25, 157: 24, 58: 24, 39: 24, 95: 23, 100: 23, 98: 23, 238: 23, 196: 22, 153: 22, 69: 22, 62: 22, 241: 22, 230: 22, 137: 21, 242: 21, 166: 21, 222: 21, 191: 21, 68: 21, 91: 21, 136: 20, 92: 20, 138: 20, 232: 20, 190: 20, 64: 20, 177: 20, 258: 20, 0: 19, 189: 19, 105: 19, 14: 19, 188: 19, 42: 19, 117: 19, 77: 19, 89: 19, 159: 19, 63: 18, 146: 18, 163: 18, 220: 18, 102: 18, 45: 18, 36: 18, 56: 18, 235: 18, 172: 18, 93: 18, 253: 18, 263: 18, 52: 17, 83: 17, 33: 17, 44: 17, 160: 17, 203: 17, 66: 17, 104: 17, 168: 17, 111: 17, 57: 17, 201: 16, 179: 16, 96: 16, 80: 16, 133: 16, 103: 16, 88: 16, 50: 16, 22: 16, 67: 16, 30: 16, 216: 16, 59: 15, 186: 15, 187: 15, 29: 15, 27: 15, 223: 15, 24: 15, 101: 15, 120: 15, 106: 15, 233: 15, 7: 15, 49: 15, 171: 15, 192: 14, 75: 14, 8: 14, 43: 14, 15: 14, 183: 14, 227: 14, 169: 14, 61: 14, 209: 14, 32: 14, 26: 14, 204: 14, 127: 14, 126: 14, 162: 14, 261: 14, 121: 13, 23: 13, 65: 13, 226: 13, 185: 13, 221: 13, 194: 13, 142: 13, 53: 13, 72: 13, 25: 13, 256: 13, 152: 12, 41: 12, 82: 12, 4: 12, 79: 12, 207: 12, 9: 12, 21: 12, 212: 12, 260: 12, 250: 12, 35: 11, 132: 11, 110: 11, 123: 11, 181: 11, 174: 11, 178: 11, 219: 11, 122: 11, 128: 11, 180: 11, 200: 11, 165: 11, 13: 11, 6: 11, 147: 11, 34: 11, 140: 11, 116: 11, 217: 11, 16: 11, 18: 11, 167: 11, 130: 11, 70: 11, 208: 11, 31: 11, 236: 11, 144: 11, 74: 10, 60: 10, 76: 10, 109: 10, 20: 10, 161: 10, 28: 10, 11: 10, 211: 10, 10: 10, 118: 10, 202: 10, 225: 10, 99: 10, 231: 10, 81: 10, 17: 10})"
1,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",20,[-1 80 80 ... 80 80 -1],"Counter({80: 148956, -1: 91566, 64: 11443, 59: 4014, 9: 701, 7: 557, 66: 414, 67: 323, 78: 236, 4: 186, 37: 177, 68: 163, 29: 153, 69: 143, 3: 133, 24: 120, 56: 111, 30: 107, 5: 107, 25: 107, 71: 103, 6: 95, 38: 85, 74: 84, 35: 76, 36: 76, 45: 72, 42: 68, 73: 61, 32: 58, 65: 56, 79: 56, 2: 52, 49: 50, 10: 47, 20: 46, 17: 46, 52: 45, 55: 44, 39: 43, 46: 41, 53: 41, 50: 39, 57: 39, 61: 38, 0: 35, 62: 35, 75: 35, 27: 34, 8: 32, 72: 32, 11: 31, 18: 30, 41: 30, 21: 30, 60: 29, 1: 29, 40: 29, 63: 27, 19: 26, 70: 26, 77: 26, 13: 26, 31: 26, 48: 26, 47: 26, 76: 26, 58: 25, 14: 23, 51: 22, 43: 22, 15: 22, 28: 21, 22: 21, 16: 21, 23: 21, 44: 21, 33: 21, 12: 20, 54: 20, 26: 20, 34: 20})"
2,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",30,[38 38 38 ... 38 38 -1],"Counter({38: 160467, -1: 84904, 29: 8377, 25: 3879, 5: 678, 4: 493, 30: 368, 36: 238, 34: 212, 0: 188, 15: 185, 37: 182, 13: 171, 32: 138, 12: 126, 14: 124, 8: 121, 16: 115, 33: 115, 3: 83, 1: 78, 2: 74, 18: 66, 24: 65, 26: 63, 20: 62, 10: 54, 17: 53, 27: 52, 28: 49, 11: 46, 7: 43, 19: 42, 31: 39, 6: 35, 9: 33, 21: 33, 22: 33, 23: 30, 35: 30})"
3,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",40,[-1 -1 -1 ... -1 -1 -1],"Counter({82: 135784, -1: 105414, 24: 4516, 16: 3771, 0: 1056, 45: 641, 53: 561, 60: 556, 5: 537, 7: 509, 63: 381, 81: 361, 19: 355, 9: 341, 32: 339, 37: 325, 49: 314, 47: 298, 46: 282, 40: 235, 30: 204, 29: 203, 28: 191, 48: 187, 52: 181, 51: 175, 34: 160, 43: 147, 57: 131, 68: 131, 27: 125, 73: 122, 20: 122, 64: 116, 11: 110, 76: 109, 8: 108, 26: 103, 12: 97, 62: 96, 23: 90, 6: 88, 55: 88, 35: 84, 42: 83, 59: 82, 14: 80, 25: 80, 71: 80, 54: 79, 36: 78, 1: 77, 69: 73, 22: 73, 31: 71, 72: 71, 50: 70, 75: 70, 2: 67, 66: 64, 65: 63, 80: 59, 3: 59, 4: 57, 44: 57, 61: 54, 78: 54, 38: 54, 33: 51, 41: 51, 39: 50, 67: 50, 13: 49, 17: 48, 18: 48, 56: 48, 58: 47, 10: 46, 77: 45, 15: 44, 70: 44, 21: 42, 79: 42, 74: 40})"
4,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",50,[-1 -1 -1 ... -1 -1 -1],"Counter({41: 127301, -1: 118497, 15: 5119, 10: 3992, 1: 1140, 3: 649, 38: 597, 37: 587, 11: 359, 26: 290, 35: 281, 36: 257, 25: 221, 18: 200, 29: 179, 34: 168, 7: 129, 33: 125, 0: 122, 17: 118, 30: 114, 23: 111, 8: 106, 12: 106, 14: 105, 16: 104, 28: 100, 6: 92, 9: 90, 5: 85, 19: 80, 27: 73, 13: 69, 2: 67, 24: 65, 32: 63, 4: 61, 20: 60, 31: 54, 21: 53, 40: 53, 39: 51, 22: 51})"
5,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",60,[-1 -1 -1 ... -1 -1 -1],"Counter({35: 128721, -1: 110908, 10: 11625, 9: 4289, 6: 632, 2: 628, 33: 540, 36: 514, 11: 356, 27: 300, 22: 290, 26: 263, 4: 253, 15: 226, 13: 212, 0: 175, 20: 162, 32: 153, 7: 146, 34: 135, 8: 120, 28: 119, 14: 109, 25: 107, 31: 105, 12: 98, 23: 96, 3: 95, 21: 90, 24: 89, 30: 86, 16: 83, 29: 79, 17: 77, 19: 68, 18: 66, 1: 66, 5: 63})"
6,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",70,[-1 -1 -1 ... -1 -1 -1],"Counter({33: 126360, -1: 111028, 8: 14275, 7: 4111, 1: 1043, 31: 472, 32: 453, 4: 432, 2: 391, 9: 366, 18: 298, 12: 204, 25: 198, 26: 181, 16: 178, 20: 141, 5: 138, 19: 136, 27: 131, 0: 129, 6: 126, 3: 124, 23: 110, 11: 109, 29: 99, 21: 97, 30: 97, 24: 94, 22: 90, 14: 85, 17: 77, 10: 77, 28: 76, 34: 76, 13: 72, 15: 70})"
7,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",80,[-1 -1 -1 ... -1 -1 -1],"Counter({34: 128439, -1: 116192, 9: 6985, 6: 3732, 1: 900, 2: 811, 32: 470, 33: 441, 7: 405, 20: 293, 26: 250, 19: 211, 5: 198, 11: 195, 3: 179, 25: 171, 13: 170, 16: 168, 17: 161, 0: 157, 15: 137, 27: 132, 28: 127, 4: 119, 23: 117, 8: 103, 29: 101, 21: 99, 12: 97, 31: 88, 30: 86, 24: 84, 14: 83, 18: 81, 22: 81, 10: 81})"
8,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",90,[-1 -1 -1 ... 15 -1 -1],"Counter({15: 159754, -1: 84974, 7: 9692, 6: 4583, 2: 627, 1: 582, 9: 415, 8: 260, 0: 182, 3: 181, 5: 151, 10: 138, 11: 131, 12: 129, 13: 121, 14: 120, 4: 104})"
9,ADNI_037_S_0539_MR_MPR__GradWarp__N3__Scaled_Br_20070818133515805_S25820_I68538.nii,"[[-41.84030151   0.           0.           0.        ]
 [-41.84030151   0.           0.           1.        ]
 [-41.84030151   0.           0.           2.        ]
 ...
 [-41.84030151  63.          63.          61.        ]
 [-41.84030151  63.          63.          62.        ]
 [-41.84030151  63.          63.          63.        ]]",100,[-1 -1 -1 ... 13 -1 -1],"Counter({13: 162668, -1: 75943, 6: 15153, 5: 5364, 1: 606, 2: 602, 9: 391, 7: 276, 4: 212, 3: 194, 12: 192, 10: 167, 0: 152, 8: 121, 11: 103})"
